IC_L_7: t= 7.60, L= 99.34, L_straight=  8.12, slack= 91.22, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.70, L= 99.33, L_straight=  8.10, slack= 91.23, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.80, L= 99.32, L_straight=  8.07, slack= 91.25, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.90, L= 99.31, L_straight=  8.04, slack= 91.27, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.00, L= 99.30, L_straight=  8.02, slack= 91.28, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.10, L= 99.29, L_straight=  7.99, slack= 91.30, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.20, L= 99.28, L_straight=  7.96, slack= 91.32, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.30, L= 99.27, L_straight=  7.93, slack= 91.34, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.40, L= 99.26, L_straight=  7.91, slack= 91.35, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.50, L= 99.25, L_straight=  7.88, slack= 91.37, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.60, L= 99.24, L_straight=  7.85, slack= 91.39, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.70, L= 99.23, L_straight=  7.83, slack= 91.40, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.80, L= 99.22, L_straight=  7.80, slack= 91.42, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.90, L= 99.21, L_straight=  7.77, slack= 91.44, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.00, L= 99.20, L_straight=  7.75, slack= 91.45, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.10, L= 99.19, L_straight=  7.72, slack= 91.47, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.20, L= 99.18, L_straight=  7.69, slack= 91.49, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.30, L= 99.17, L_straight=  7.67, slack= 91.50, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.40, L= 99.16, L_straight=  7.64, slack= 91.52, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.50, L= 99.15, L_straight=  7.61, slack= 91.54, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.60, L= 99.14, L_straight=  7.59, slack= 91.55, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 9.70, L= 99.13, L_straight=  7.56, slack= 91.57, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
