IC_L_7: t= 7.70, L= 101.82, L_straight= 94.74, slack=  7.08, T_bat= 66.04, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.80, L= 101.81, L_straight= 94.67, slack=  7.14, T_bat= 66.08, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 7.90, L= 101.80, L_straight= 94.60, slack=  7.20, T_bat= 66.12, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.00, L= 101.79, L_straight= 94.53, slack=  7.26, T_bat= 66.17, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.10, L= 101.78, L_straight= 94.46, slack=  7.32, T_bat= 66.21, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.20, L= 101.77, L_straight= 94.39, slack=  7.38, T_bat= 66.25, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.30, L= 101.76, L_straight= 94.32, slack=  7.44, T_bat= 66.29, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.40, L= 101.75, L_straight= 94.26, slack=  7.50, T_bat= 66.33, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.50, L= 101.74, L_straight= 94.19, slack=  7.56, T_bat= 66.37, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.60, L= 101.73, L_straight= 94.12, slack=  7.61, T_bat= 66.42, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 8.70, L= 101.72, L_straight= 94.05, slack=  7.67, T_bat= 66.46, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
