[SCEN] t=10.10 scen=Fy crit=(t>10:-25) T_bat=0.008337781180859672 y=-401.88 x=29.98 L=403.00
IC_L_7: t= 10.10, L= 403.00, L_straight= 403.00, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 10.20, L= 403.00, L_straight= 403.00, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.05, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.30, L= 403.00, L_straight= 403.00, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.10, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.40, L= 403.01, L_straight= 403.01, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.15, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.50, L= 403.03, L_straight= 403.02, slack=  0.01, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.60, L= 403.05, L_straight= 403.05, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.25, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.70, L= 403.07, L_straight= 403.07, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.30, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.80, L= 403.10, L_straight= 403.08, slack=  0.03, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.35, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.90, L= 403.14, L_straight= 403.12, slack=  0.02, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.40, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.00, L= 403.18, L_straight= 403.17, slack=  0.01, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.10, L= 403.22, L_straight= 403.22, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.20, L= 403.27, L_straight= 403.27, slack=  0.00, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.55, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.30, L= 403.33, L_straight= 403.32, slack=  0.01, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.59, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.40, L= 403.39, L_straight= 403.37, slack=  0.02, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.64, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.50, L= 403.45, L_straight= 403.42, slack=  0.03, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.67, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.60, L= 403.52, L_straight= 403.47, slack=  0.05, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.70, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.70, L= 403.59, L_straight= 403.52, slack=  0.07, T_bat= 0.01, T_rov= 0.26, Fy_cmd=-25.00, desired=  1.00, ret=  0.73, exp=PILOT_DESC_ADD_SLACK_ACC
