[SCEN] t=0.00 scen=Fy crit=(t<5:-5) T_bat=0.008337781180859672 y=-400.00 x=30.00 L=403.00
[SCEN] t=10.10 scen=Fy crit=(t>10:-25) T_bat=9.430862860832674 y=-403.08 x=29.97 L=410.29
IC_L_7: t= 10.10, L= 410.29, L_straight= 404.19, slack=  6.10, T_bat= 9.43, T_rov= 0.50, Fy_cmd= -5.00, desired=  0.66, ret=  0.66, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.20, L= 410.36, L_straight= 404.23, slack=  6.13, T_bat= 9.43, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.86, ret=  0.68, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.30, L= 410.43, L_straight= 404.27, slack=  6.16, T_bat= 11.43, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.96, ret=  0.71, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.40, L= 410.50, L_straight= 404.31, slack=  6.19, T_bat= 14.03, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.06, ret=  0.74, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.50, L= 410.57, L_straight= 404.35, slack=  6.22, T_bat= 16.47, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.14, ret=  0.78, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.60, L= 410.65, L_straight= 404.40, slack=  6.25, T_bat= 18.41, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.20, ret=  0.82, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.70, L= 410.73, L_straight= 404.45, slack=  6.28, T_bat= 19.83, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.24, ret=  0.87, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.80, L= 410.82, L_straight= 404.50, slack=  6.32, T_bat= 20.81, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.26, ret=  0.91, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 10.90, L= 410.91, L_straight= 404.55, slack=  6.36, T_bat= 21.45, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.28, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 11.00, L= 411.01, L_straight= 404.60, slack=  6.40, T_bat= 21.86, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.29, ret=  0.98, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 11.10, L= 411.10, L_straight= 404.65, slack=  6.45, T_bat= 22.11, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.30, ret=  1.01, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
IC_L_7: t= 11.20, L= 411.20, L_straight= 404.70, slack=  6.50, T_bat= 22.27, T_rov= 0.50, Fy_cmd=-25.00, desired=  1.30, ret=  1.04, exp=PILOT_DESC_ADD_SLACK_MINPAY_ACC
