IC_L_7: t= 11.90, L= 453.74, L_straight= 453.60, slack=  0.14, T_bat= 32.18, Fy= 1.58, desired=  1.00, ret=  0.78, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.00, L= 453.82, L_straight= 453.65, slack=  0.17, T_bat= 13.70, Fy= 0.00, desired=  1.00, ret=  0.81, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.10, L= 453.90, L_straight= 453.70, slack=  0.20, T_bat= 31.70, Fy= 1.14, desired=  1.00, ret=  0.83, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.20, L= 453.98, L_straight= 453.75, slack=  0.23, T_bat= 14.36, Fy= 0.00, desired=  1.00, ret=  0.84, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.30, L= 454.07, L_straight= 453.80, slack=  0.27, T_bat= 31.33, Fy= 0.87, desired=  1.00, ret=  0.86, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.40, L= 454.15, L_straight= 453.85, slack=  0.30, T_bat= 14.84, Fy= 0.00, desired=  1.00, ret=  0.87, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.50, L= 454.24, L_straight= 453.90, slack=  0.34, T_bat= 31.03, Fy= 0.68, desired=  1.00, ret=  0.89, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.60, L= 454.33, L_straight= 453.95, slack=  0.38, T_bat= 15.19, Fy= 0.00, desired=  1.00, ret=  0.90, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.70, L= 454.42, L_straight= 454.00, slack=  0.42, T_bat= 30.79, Fy= 0.56, desired=  1.00, ret=  0.91, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.80, L= 454.51, L_straight= 454.05, slack=  0.46, T_bat= 15.47, Fy= 0.00, desired=  1.00, ret=  0.92, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.90, L= 454.60, L_straight= 454.10, slack=  0.50, T_bat= 30.58, Fy= 0.46, desired=  1.00, ret=  0.92, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.00, L= 454.69, L_straight= 454.15, slack=  0.54, T_bat= 15.70, Fy= 0.00, desired=  1.00, ret=  0.93, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.10, L= 454.79, L_straight= 454.20, slack=  0.58, T_bat= 30.41, Fy= 0.39, desired=  1.00, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.20, L= 454.88, L_straight= 454.25, slack=  0.63, T_bat= 15.89, Fy= 0.00, desired=  1.00, ret=  0.95, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.30, L= 454.97, L_straight= 454.30, slack=  0.67, T_bat= 30.26, Fy= 0.34, desired=  1.00, ret=  0.95, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.40, L= 455.07, L_straight= 454.35, slack=  0.71, T_bat= 16.05, Fy= 0.00, desired=  1.00, ret=  0.96, exp=PILOT_DESC_ADD_SLACK_ACC
