IC_L_7: t= 10.70, L= 443.65, L_straight= 403.75, slack= 39.90, T_bat= 20.14, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.70, exp=PILOT_DESC_ACC
IC_L_7: t= 10.80, L= 443.58, L_straight= 403.80, slack= 39.78, T_bat= 21.61, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.65, exp=PILOT_DESC_ACC
IC_L_7: t= 10.90, L= 443.51, L_straight= 403.85, slack= 39.67, T_bat= 22.59, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.60, exp=PILOT_DESC_ACC
IC_L_7: t= 11.00, L= 443.45, L_straight= 403.90, slack= 39.56, T_bat= 23.22, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.55, exp=PILOT_DESC_ACC
IC_L_7: t= 11.10, L= 443.40, L_straight= 403.95, slack= 39.45, T_bat= 23.62, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.50, exp=PILOT_DESC_ACC
IC_L_7: t= 11.20, L= 443.35, L_straight= 404.00, slack= 39.35, T_bat= 23.87, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.45, exp=PILOT_DESC_ACC
IC_L_7: t= 11.30, L= 443.31, L_straight= 404.05, slack= 39.26, T_bat= 24.01, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.40, exp=PILOT_DESC_ACC
IC_L_7: t= 11.40, L= 443.27, L_straight= 404.10, slack= 39.17, T_bat= 24.10, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.35, exp=PILOT_DESC_ACC
IC_L_7: t= 11.50, L= 443.23, L_straight= 404.15, slack= 39.08, T_bat= 24.15, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.30, exp=PILOT_DESC_ACC
IC_L_7: t= 11.60, L= 443.20, L_straight= 404.20, slack= 39.00, T_bat= 24.18, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.25, exp=PILOT_DESC_ACC
IC_L_7: t= 11.70, L= 443.18, L_straight= 404.25, slack= 38.93, T_bat= 24.20, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.80, L= 443.15, L_straight= 404.30, slack= 38.86, T_bat= 24.21, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.16, exp=PILOT_DESC_ACC
IC_L_7: t= 11.90, L= 443.14, L_straight= 404.35, slack= 38.79, T_bat= 24.21, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.13, exp=PILOT_DESC_ACC
IC_L_7: t= 12.00, L= 443.13, L_straight= 404.40, slack= 38.73, T_bat= 24.21, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.10, exp=PILOT_DESC_ACC
IC_L_7: t= 12.10, L= 443.12, L_straight= 404.45, slack= 38.67, T_bat= 24.21, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.07, exp=PILOT_DESC_ACC
IC_L_7: t= 12.20, L= 443.11, L_straight= 404.50, slack= 38.61, T_bat= 24.21, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.04, exp=PILOT_DESC_ACC
IC_L_7: t= 12.30, L= 443.11, L_straight= 404.55, slack= 38.55, T_bat= 24.21, T_rov= 0.50, Fy_cmd=-25.00, desired=  0.20, ret= -0.02, exp=PILOT_DESC_ACC
