t: 0.00, HISTORY < 2  -> retourne 0.00
[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.017059615106891583 p=-10.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.017059615106891583 p=-10.00 L=12.00
MAIN: t=9.70, L=  9.44, est_dT_dL=   0.01, y_rov= -8.73, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -662.00, ret2=-133.20, ret= -1.00
MAIN: t=9.80, L=  9.34, est_dT_dL=   0.01, y_rov= -8.63, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -678.17, ret2=-136.43, ret= -1.00
MAIN: t=9.90, L=  9.24, est_dT_dL=   0.01, y_rov= -8.53, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -694.16, ret2=-139.63, ret= -1.00
MAIN: t=10.00, L=  9.14, est_dT_dL=   0.01, y_rov= -8.43, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -710.02, ret2=-142.80, ret= -1.00
[SCEN] t=10.10 scen=Fy crit=(t>10:-10) T_bat=10.015574673329665 p=-8.33 L=9.04
MAIN: t=10.10, L=  9.04, est_dT_dL=   0.01, y_rov= -8.33, vy_rov=  1.00, Vy_lim= -0.14, T= 10.02, Tcible= 25.00, ret1= -725.80, ret2=-145.96, ret= -1.00
MAIN: t=10.20, L=  8.94, est_dT_dL=   0.01, y_rov= -8.23, vy_rov=  0.99, Vy_lim= -0.20, T= 10.02, Tcible= 25.00, ret1= -777.81, ret2=-156.36, ret= -1.00
MAIN: t=10.30, L=  8.84, est_dT_dL=   0.01, y_rov= -8.13, vy_rov=  0.99, Vy_lim= -0.20, T= 10.02, Tcible= 25.00, ret1= -871.55, ret2=-175.11, ret= -1.00
MAIN: t=10.40, L=  8.74, est_dT_dL=   0.00, y_rov= -8.03, vy_rov=  0.99, Vy_lim= -0.20, T= 10.02, Tcible= 25.00, ret1= -996.92, ret2=-200.18, ret= -1.00
MAIN: t=10.50, L=  8.64, est_dT_dL=   0.00, y_rov= -7.94, vy_rov=  0.99, Vy_lim= -0.20, T= 10.02, Tcible= 25.00, ret1=-1155.40, ret2=-231.88, ret= -1.00
MAIN: t=10.60, L=  8.54, est_dT_dL=   0.00, y_rov= -7.84, vy_rov=  0.98, Vy_lim= -0.20, T= 10.02, Tcible= 25.00, ret1=-1342.57, ret2=-269.31, ret= -1.00
MAIN: t=10.70, L=  8.44, est_dT_dL=   0.00, y_rov= -7.74, vy_rov=  0.98, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-1556.41, ret2=-312.08, ret= -1.00
MAIN: t=10.80, L=  8.34, est_dT_dL=   0.00, y_rov= -7.64, vy_rov=  0.98, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-1800.41, ret2=-360.88, ret= -1.00
MAIN: t=10.90, L=  8.24, est_dT_dL=   0.00, y_rov= -7.54, vy_rov=  0.98, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-2072.55, ret2=-415.31, ret= -1.00
MAIN: t=11.00, L=  8.14, est_dT_dL=   0.00, y_rov= -7.45, vy_rov=  0.98, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-2368.23, ret2=-474.45, ret= -1.00
MAIN: t=11.10, L=  8.04, est_dT_dL=   0.00, y_rov= -7.35, vy_rov=  0.98, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-2680.97, ret2=-536.99, ret= -1.00
MAIN: t=11.20, L=  7.94, est_dT_dL=   0.00, y_rov= -7.25, vy_rov=  0.97, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-2525.74, ret2=-505.95, ret= -1.00
MAIN: t=11.30, L=  7.84, est_dT_dL=   0.00, y_rov= -7.15, vy_rov=  0.97, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-2111.22, ret2=-423.04, ret= -1.00
MAIN: t=11.40, L=  7.74, est_dT_dL=   0.00, y_rov= -7.06, vy_rov=  0.97, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-1771.39, ret2=-355.08, ret= -1.00
MAIN: t=11.50, L=  7.64, est_dT_dL=   0.00, y_rov= -6.96, vy_rov=  0.97, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-1527.96, ret2=-306.39, ret= -1.00
MAIN: t=11.60, L=  7.54, est_dT_dL=   0.00, y_rov= -6.86, vy_rov=  0.97, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-1358.22, ret2=-272.44, ret= -1.00
MAIN: t=11.70, L=  7.44, est_dT_dL=   0.00, y_rov= -6.77, vy_rov=  0.97, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-1240.30, ret2=-248.86, ret= -1.00
MAIN: t=11.80, L=  7.34, est_dT_dL=   0.00, y_rov= -6.67, vy_rov=  0.97, Vy_lim= -0.20, T= 10.01, Tcible= 25.00, ret1=-1158.53, ret2=-232.51, ret= -1.00
