[SCEN] t=0.00 scen=Fy crit=(:-10) T_bat=0.5 y=-500.00 x=0.00 L=10.00
IC_L_7: t= 7.10, L= 12.09, L_straight= 10.86, slack=  1.22, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.38), Fy_cmd=-29.00, desired=  0.63, ret=  0.53, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.20, L= 12.14, L_straight= 10.90, slack=  1.24, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.38), Fy_cmd=-29.00, desired=  0.63, ret=  0.54, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.30, L= 12.19, L_straight= 10.94, slack=  1.25, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.38), Fy_cmd=-29.00, desired=  0.63, ret=  0.55, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.40, L= 12.25, L_straight= 10.98, slack=  1.27, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.38), Fy_cmd=-29.00, desired=  0.63, ret=  0.56, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.50, L= 12.30, L_straight= 11.02, slack=  1.28, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.38), Fy_cmd=-29.00, desired=  0.63, ret=  0.57, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.60, L= 12.36, L_straight= 11.06, slack=  1.30, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.39), Fy_cmd=-29.00, desired=  0.63, ret=  0.57, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.70, L= 12.42, L_straight= 11.10, slack=  1.32, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.39), Fy_cmd=-29.00, desired=  0.63, ret=  0.58, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.80, L= 12.48, L_straight= 11.14, slack=  1.34, T_bat= 0.57, T_rov= 0.50, F_drag_cable=( 0.00,  0.39), Fy_cmd=-29.00, desired=  0.63, ret=  0.59, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 7.90, L= 12.53, L_straight= 11.18, slack=  1.36, T_bat= 0.56, T_rov= 0.50, F_drag_cable=( 0.00,  0.39), Fy_cmd=-29.00, desired=  0.63, ret=  0.59, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.00, L= 12.59, L_straight= 11.21, slack=  1.38, T_bat= 0.56, T_rov= 0.50, F_drag_cable=( 0.00,  0.39), Fy_cmd=-29.00, desired=  0.63, ret=  0.59, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.10, L= 12.65, L_straight= 11.25, slack=  1.40, T_bat= 0.56, T_rov= 0.50, F_drag_cable=( 0.00,  0.39), Fy_cmd=-29.00, desired=  0.63, ret=  0.60, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.20, L= 12.71, L_straight= 11.29, slack=  1.42, T_bat= 0.56, T_rov= 0.50, F_drag_cable=( 0.00,  0.40), Fy_cmd=-29.00, desired=  0.63, ret=  0.60, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.30, L= 12.77, L_straight= 11.33, slack=  1.44, T_bat= 0.56, T_rov= 0.50, F_drag_cable=( 0.00,  0.40), Fy_cmd=-29.00, desired=  0.63, ret=  0.61, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.40, L= 12.83, L_straight= 11.37, slack=  1.46, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.40), Fy_cmd=-29.00, desired=  0.63, ret=  0.61, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.50, L= 12.89, L_straight= 11.41, slack=  1.49, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.40), Fy_cmd=-29.00, desired=  0.63, ret=  0.61, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 8.60, L= 12.96, L_straight= 11.45, slack=  1.51, T_bat= 0.55, T_rov= 0.50, F_drag_cable=( 0.00,  0.40), Fy_cmd=-29.00, desired=  0.63, ret=  0.61, exp=PILOT_DESC_MINPAY_ACC
