[SCEN] t=0.00 scen=Fx crit=(:-5) T_bat=0.5 y=-10.00 x=0.00 L=10.00
IC_L_7: t= 5.40, L= 9.12, L_straight=  8.79, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.15, -0.13), Fy_cmd=  0.00, desired= -0.22, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.50, L= 9.10, L_straight=  8.76, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.17, -0.13), Fy_cmd=  0.00, desired= -0.23, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.60, L= 9.08, L_straight=  8.74, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.18, -0.13), Fy_cmd=  0.00, desired= -0.24, ret= -0.21, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.70, L= 9.06, L_straight=  8.72, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.19, -0.13), Fy_cmd=  0.00, desired= -0.25, ret= -0.21, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.80, L= 9.04, L_straight=  8.70, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.20, -0.13), Fy_cmd=  0.00, desired= -0.25, ret= -0.21, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.90, L= 9.02, L_straight=  8.67, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.20, -0.13), Fy_cmd=  0.00, desired= -0.25, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.00, L= 9.00, L_straight=  8.65, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.21, -0.13), Fy_cmd=  0.00, desired= -0.25, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.10, L= 8.98, L_straight=  8.63, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.22, -0.13), Fy_cmd=  0.00, desired= -0.24, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.20, L= 8.95, L_straight=  8.61, slack=  0.34, T_bat= 0.43, T_rov= 0.50, F_drag_cable=( 0.22, -0.13), Fy_cmd=  0.00, desired= -0.24, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.30, L= 8.93, L_straight=  8.59, slack=  0.34, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.22, -0.13), Fy_cmd=  0.00, desired= -0.23, ret= -0.23, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 6.40, L= 8.91, L_straight=  8.57, slack=  0.34, T_bat= 0.44, T_rov= 0.50, F_drag_cable=( 0.23, -0.13), Fy_cmd=  0.00, desired= -0.23, ret= -0.23, exp=PILOT_ASC_REMOVE_SLACK_ACC
