[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=8.50, T=26.67, Trupt=50.00, Tcible=5.00, est_dT_dL=   3.27, desired= -3.31, ret= -0.50, exp=REG_T_ACC
AUTO_L_6: t=8.60, T=26.65, Trupt=50.00, Tcible=5.00, est_dT_dL=   2.67, desired= -4.05, ret= -0.55, exp=REG_T_ACC
AUTO_L_6: t=8.70, T=26.63, Trupt=50.00, Tcible=5.00, est_dT_dL=   1.84, desired= -5.88, ret= -0.60, exp=REG_T_ACC
AUTO_L_6: t=8.80, T=26.61, Trupt=50.00, Tcible=5.00, est_dT_dL=   1.25, desired= -8.62, ret= -0.65, exp=REG_T_ACC
AUTO_L_6: t=8.90, T=26.59, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.88, desired=-12.25, ret= -0.70, exp=REG_T_ACC
AUTO_L_6: t=9.00, T=26.57, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.65, desired=-16.56, ret= -0.75, exp=REG_T_ACC
AUTO_L_6: t=9.10, T=26.54, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.51, desired=-21.04, ret= -0.80, exp=REG_T_ACC
AUTO_L_6: t=9.20, T=26.52, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.43, desired=-25.13, ret= -0.85, exp=REG_T_ACC
AUTO_L_6: t=9.30, T=26.49, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-28.41, ret= -0.90, exp=REG_T_ACC
AUTO_L_6: t=9.40, T=26.46, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.35, desired=-30.80, ret= -0.95, exp=REG_T_ACC
AUTO_L_6: t=9.50, T=26.43, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.33, desired=-32.41, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=9.60, T=26.40, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.32, desired=-33.26, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=9.70, T=26.37, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.32, desired=-33.64, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=9.80, T=26.34, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.32, desired=-33.81, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=9.90, T=26.31, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.87, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.00, T=26.28, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.86, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.10, T=26.25, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.83, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.20, T=26.21, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.77, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.30, T=26.18, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.71, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.40, T=26.15, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.63, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.50, T=26.12, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.56, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.60, T=26.09, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.48, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.70, T=26.06, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.46, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.80, T=26.03, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.46, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=10.90, T=26.00, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.46, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.00, T=25.96, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.45, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.10, T=25.93, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.45, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.20, T=25.90, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.44, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.30, T=25.87, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.43, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.40, T=25.84, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.42, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.50, T=25.81, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.41, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.60, T=25.78, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.40, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.70, T=25.75, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.39, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.80, T=25.72, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.38, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=11.90, T=25.69, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.37, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.00, T=25.65, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.35, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.10, T=25.62, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.34, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.20, T=25.59, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.33, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.30, T=25.56, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.31, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.40, T=25.53, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.30, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.50, T=25.50, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.29, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.60, T=25.47, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.27, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.70, T=25.44, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.26, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.80, T=25.41, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.24, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=12.90, T=25.38, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.23, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.00, T=25.35, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.21, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.10, T=25.32, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.20, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.20, T=25.29, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.18, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.30, T=25.26, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.17, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.40, T=25.23, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.31, desired=-33.15, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.50, T=25.20, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.14, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.60, T=25.17, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.12, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.70, T=25.14, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.11, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.80, T=25.11, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.09, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=13.90, T=25.08, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.07, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.00, T=25.04, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.06, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.10, T=25.01, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.04, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.20, T=24.98, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.03, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.30, T=24.95, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.01, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.40, T=24.92, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-33.00, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.50, T=24.89, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.98, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.60, T=24.86, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.96, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.70, T=24.83, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.95, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.80, T=24.80, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.93, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=14.90, T=24.77, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.92, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.00, T=24.74, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.90, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.10, T=24.71, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.88, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.20, T=24.69, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.87, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.30, T=24.66, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.85, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.40, T=24.63, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.84, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.50, T=24.60, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.82, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.60, T=24.57, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.80, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.70, T=24.54, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.79, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.80, T=24.51, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.77, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=15.90, T=24.48, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.76, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.00, T=24.45, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.74, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.10, T=24.42, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.72, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.20, T=24.39, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.71, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.30, T=24.36, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.69, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.40, T=24.33, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.68, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.50, T=24.30, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.66, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.60, T=24.27, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.30, desired=-32.64, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.70, T=24.24, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.29, desired=-32.63, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.80, T=24.21, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.29, desired=-32.61, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=16.90, T=24.18, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.29, desired=-32.60, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=17.00, T=24.15, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.29, desired=-32.58, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=17.10, T=24.12, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.29, desired=-32.56, ret= -1.00, exp=REG_T_ACC
