[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_7: t= 11.80, L= 112.14, L_straight= 109.77, slack=  2.37, T_bat= 10.16, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 11.90, L= 112.16, L_straight= 109.84, slack=  2.32, T_bat= 10.16, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 12.00, L= 112.18, L_straight= 109.91, slack=  2.27, T_bat= 10.16, Fy= 0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 12.10, L= 112.20, L_straight= 109.97, slack=  2.23, T_bat= 10.16, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 12.20, L= 112.22, L_straight= 110.04, slack=  2.18, T_bat= 10.16, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.30, L= 112.24, L_straight= 110.11, slack=  2.13, T_bat= 10.17, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.40, L= 112.26, L_straight= 110.18, slack=  2.08, T_bat= 10.17, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.50, L= 112.28, L_straight= 110.25, slack=  2.03, T_bat= 10.17, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.60, L= 112.30, L_straight= 110.32, slack=  1.98, T_bat= 10.17, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.70, L= 112.32, L_straight= 110.38, slack=  1.94, T_bat= 10.18, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.80, L= 112.34, L_straight= 110.45, slack=  1.89, T_bat= 10.18, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.90, L= 112.36, L_straight= 110.52, slack=  1.84, T_bat= 10.18, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.00, L= 112.38, L_straight= 110.59, slack=  1.79, T_bat= 10.18, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.10, L= 112.40, L_straight= 110.66, slack=  1.74, T_bat= 10.18, Fy= 0.02, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
