[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_6: t= 6.50, y_rov=-104.16, vy_rov=-0.67, gy_rov= 0.00, L= 112.09, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.14, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.60, y_rov=-104.23, vy_rov=-0.67, gy_rov= 0.00, L= 112.13, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.15, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.70, y_rov=-104.30, vy_rov=-0.67, gy_rov= 0.00, L= 112.17, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.15, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.80, y_rov=-104.36, vy_rov=-0.67, gy_rov= 0.00, L= 112.21, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.15, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 6.90, y_rov=-104.43, vy_rov=-0.67, gy_rov= 0.00, L= 112.25, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.16, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 7.00, y_rov=-104.50, vy_rov=-0.67, gy_rov= 0.00, L= 112.29, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.16, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 7.10, y_rov=-104.56, vy_rov=-0.67, gy_rov= 0.00, L= 112.33, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.16, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 7.20, y_rov=-104.63, vy_rov=-0.67, gy_rov= 0.00, L= 112.37, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.17, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 7.30, y_rov=-104.70, vy_rov=-0.67, gy_rov= 0.00, L= 112.41, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.17, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
IC_L_6: t= 7.40, y_rov=-104.77, vy_rov=-0.67, gy_rov= 0.00, L= 112.45, dl_dt_cmd= 0.40, prev_cmd= 0.40, T_bat= 10.18, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.40, exp=PILOT_DESC_TAUT_ACC
