[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 7.30, y_rov=-104.70, vy_rov=-0.67, gy_rov= 0.00, L= 106.76, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 20.75, Fy_tr= 0.17, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.09, ret=-1.00, exp=REG_T_ACC
IC_L_6: t= 7.40, y_rov=-104.77, vy_rov=-0.67, gy_rov= 0.00, L= 106.66, dl_dt_cmd=-1.00, prev_cmd=-1.00, T_bat= 21.15, Fy_tr= 0.63, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.50, ret=-0.95, exp=REG_T_ACC
IC_L_6: t= 7.50, y_rov=-104.68, vy_rov= 0.88, gy_rov= 1.55, L= 106.56, dl_dt_cmd=-0.95, prev_cmd=-0.95, T_bat= 12.99, Fy_tr= 8.40, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-150.56, ret=-0.91, exp=REG_T_ACC
IC_L_6: t= 7.60, y_rov=-104.59, vy_rov= 0.86, gy_rov=-0.02, L= 106.47, dl_dt_cmd=-0.91, prev_cmd=-0.91, T_bat= 11.73, Fy_tr= 9.47, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-144.88, ret=-0.86, exp=REG_T_ACC
IC_L_6: t= 7.70, y_rov=-104.51, vy_rov= 0.81, gy_rov=-0.05, L= 106.39, dl_dt_cmd=-0.86, prev_cmd=-0.86, T_bat= 11.44, Fy_tr= 9.62, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-134.49, ret=-0.81, exp=REG_T_ACC
IC_L_6: t= 7.80, y_rov=-104.43, vy_rov= 0.76, gy_rov=-0.05, L= 106.31, dl_dt_cmd=-0.81, prev_cmd=-0.81, T_bat= 11.30, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-124.80, ret=-0.76, exp=REG_T_ACC
IC_L_6: t= 7.90, y_rov=-104.36, vy_rov= 0.72, gy_rov=-0.05, L= 106.23, dl_dt_cmd=-0.76, prev_cmd=-0.76, T_bat= 11.18, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-115.87, ret=-0.71, exp=REG_T_ACC
IC_L_6: t= 8.00, y_rov=-104.30, vy_rov= 0.67, gy_rov=-0.04, L= 106.16, dl_dt_cmd=-0.71, prev_cmd=-0.71, T_bat= 11.09, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-108.04, ret=-0.67, exp=REG_T_ACC
IC_L_6: t= 8.10, y_rov=-104.23, vy_rov= 0.63, gy_rov=-0.04, L= 106.09, dl_dt_cmd=-0.67, prev_cmd=-0.67, T_bat= 11.01, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-101.17, ret=-0.63, exp=REG_T_ACC
IC_L_6: t= 8.20, y_rov=-104.17, vy_rov= 0.59, gy_rov=-0.04, L= 106.03, dl_dt_cmd=-0.63, prev_cmd=-0.63, T_bat= 10.94, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-95.13, ret=-0.59, exp=REG_T_ACC
IC_L_6: t= 8.30, y_rov=-104.12, vy_rov= 0.56, gy_rov=-0.04, L= 105.97, dl_dt_cmd=-0.59, prev_cmd=-0.59, T_bat= 10.88, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-89.79, ret=-0.55, exp=REG_T_ACC
IC_L_6: t= 8.40, y_rov=-104.06, vy_rov= 0.53, gy_rov=-0.03, L= 105.92, dl_dt_cmd=-0.55, prev_cmd=-0.55, T_bat= 10.84, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-85.05, ret=-0.52, exp=REG_T_ACC
IC_L_6: t= 8.50, y_rov=-104.02, vy_rov= 0.49, gy_rov=-0.03, L= 105.86, dl_dt_cmd=-0.52, prev_cmd=-0.52, T_bat= 10.79, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-80.73, ret=-0.56, exp=REG_T_ACC
IC_L_6: t= 8.60, y_rov=-103.96, vy_rov= 0.53, gy_rov= 0.04, L= 105.81, dl_dt_cmd=-0.56, prev_cmd=-0.56, T_bat= 10.83, Fy_tr= 9.64, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-85.79, ret=-0.61, exp=REG_T_ACC
